id;numero;setmana;causa;data_revisio;comentaris
1;49211;2019-11-26;Practical Steel Chips;2019-11-27T02:37:18;frictionless orchid
2;57964;2019-11-27;Awesome Granite;2019-11-27T14:26:52;Shirt Metal
3;64087;2019-11-27;Rupiah;2019-11-27T07:38:28;RSS Buckinghamshire Officer
4;60193;2019-11-27;Licensed Wooden Pants;2019-11-27T10:50:05;Chair Awesome
5;12063;2019-11-27;sticky Regional;2019-11-27T14:25:51;open architecture alliance
6;9229;2019-11-26;Credit Card Account Sleek;2019-11-26T20:33:19;Regional
7;6107;2019-11-27;SAS;2019-11-27T15:29:33;Savings Account Manager Guyana
8;92404;2019-11-27;Auto Loan Account;2019-11-27T08:40:01;Roads bypass
9;3668;2019-11-27;Metal;2019-11-27T01:01:45;connecting generate Music
10;86721;2019-11-27;Hungary Configurable;2019-11-27T11:03:33;leverage Toys software
