id;nom;descripcio;setmana;temps_previst;temps_real;estat;interval_control;facturacio_automatica;observacions;comentaris_treballador;ubicacio
1;Representative Practical Rubber Keyboard Suriname;intangible AGP;2019-10-29;67595;13091;true;1462;true;Garden superstructure;Bypass Money Market Account bluetooth;black distributed transform
2;communities Research;strategy index;2019-10-28;22783;34997;false;32921;false;Garden Handmade Chair;Analyst Music;instruction set Rubber hacking
3;hacking array;Strategist Specialist Advanced;2019-10-29;44290;45029;true;36789;true;generate Sports;Cross-platform Administrator Credit Card Account;Facilitator payment Stravenue
4;Applications;Fiji Dollar turquoise;2019-10-29;9767;59598;true;96584;false;program;Maryland migration SAS;Officer Berkshire model
5;Sleek Metal Towels;deposit parsing;2019-10-29;83334;93071;true;88037;true;calculate Berkshire;Total Branding Fantastic Frozen Cheese;plug-and-play rich Saint Martin
6;Grocery plum Gorgeous Steel Hat;Salad;2019-10-28;32987;12139;true;66354;true;bluetooth;heuristic;Quetzal calculate
7;Associate;Executive;2019-10-29;10505;92218;false;4242;true;SCSI Tuna Rufiyaa;Books multi-byte;Lead multi-state Oregon
8;Sri Lanka Rupee toolset mobile;technologies mint green Zimbabwe Dollar;2019-10-29;95284;49894;false;47259;false;quantify Intranet;copy Checking Account Burgs;Gorgeous Wooden
9;Pants program;index primary;2019-10-29;5914;38935;true;99623;false;Montana;Rubber Agent Shirt;Plastic
10;Gloves virtual;CSS transmitter Granite;2019-10-29;36269;21289;false;26790;true;gold instruction set;Ethiopian Birr mindshare;Buckinghamshire full-range Plastic
