id;hora_entrada;hora_sortida;desviacio
1;2019-11-28T10:59:35;2019-11-28T13:55:37;false
2;2019-11-28T03:13:11;2019-11-28T13:11:37;false
3;2019-11-27T18:41:43;2019-11-28T07:50:15;true
4;2019-11-28T04:41:33;2019-11-27T23:46:10;false
5;2019-11-27T21:07:40;2019-11-28T00:29:46;false
6;2019-11-28T04:33:29;2019-11-28T13:58:54;true
7;2019-11-28T03:10:38;2019-11-27T22:23:03;true
8;2019-11-28T02:40:56;2019-11-27T22:10:39;true
9;2019-11-28T05:42:29;2019-11-28T02:31:15;false
10;2019-11-28T06:58:38;2019-11-28T09:15:26;false
