id;nom;hora_inici;hora_final;temps_previst;facturacio_automatica;observacions;setmana_inicial;setmana_final;numero_control
1;Rubber;2019-10-29T14:42:38;2019-10-28T20:11:03;2019-10-29T08:25:06;false;repurpose copying Keyboard;2019-10-29;2019-10-29;67949
2;Egypt;2019-10-28T19:02:17;2019-10-28T20:01:23;2019-10-29T06:54:29;true;e-business hardware;2019-10-29;2019-10-29;12902
3;Mongolia infrastructures;2019-10-29T08:13:02;2019-10-29T17:51:57;2019-10-29T05:22:41;false;sensor withdrawal;2019-10-28;2019-10-29;80817
4;hard drive Generic Health;2019-10-29T11:09:41;2019-10-29T11:26:15;2019-10-28T22:55:32;false;global harness Generic;2019-10-28;2019-10-29;64997
5;Lead;2019-10-29T05:40:26;2019-10-29T06:10:48;2019-10-28T23:50:39;true;Cambridgeshire Checking Account;2019-10-28;2019-10-29;53370
6;calculate Sleek haptic;2019-10-29T10:57:26;2019-10-29T02:26:57;2019-10-29T03:59:33;false;functionalities Communications Tasty Plastic Hat;2019-10-28;2019-10-29;78055
7;Kyat New Israeli Sheqel;2019-10-28T23:22:08;2019-10-29T01:27:06;2019-10-29T07:23:10;true;transmitting Awesome;2019-10-29;2019-10-28;83397
8;multi-byte visionary;2019-10-29T02:15:25;2019-10-29T04:41:32;2019-10-29T08:13:40;false;panel Svalbard & Jan Mayen Islands;2019-10-29;2019-10-29;40969
9;Bike;2019-10-28T22:21:30;2019-10-29T03:38:30;2019-10-28T20:21:32;true;Principal District Practical Plastic Computer;2019-10-29;2019-10-29;5098
10;Checking Account;2019-10-29T01:55:12;2019-10-29T14:02:20;2019-10-28T23:06:25;false;Salad Bedfordshire backing up;2019-10-29;2019-10-29;58565
