id;numero;nom;carrega_hores;actiu;control_qualitat
1;28509;Car Internal Small;52451;false;false
2;69696;Executive Regional Wisconsin;91739;true;false
3;81707;Networked Fish Tanzanian Shilling;92937;true;true
4;53503;Gardens synthesizing;20507;false;true
5;32367;channels Buckinghamshire Open-source;11483;true;true
6;76777;Awesome;50610;false;true
7;48114;Montenegro;5182;false;false
8;45426;Bahamas;54892;true;false
9;32235;primary Customer-focused UAE Dirham;76022;false;true
10;47316;Investment Account cross-platform;10669;true;true
